 Sample ID ;Culture;Salinity;Temperature;Treatment+ID;Replicate;Day; Date ;Week;Continuation;DunaAlive;DunaDead;Fluorescenc;Absorbance
S1C_24_2M_1;1C;2;24;S1C_24_2M;1;NA;NA;NA;NA;NA;NA;NA;NA
S1C_24_4M_1;1C;4;24;S1C_24_4M;1;NA;NA;NA;NA;NA;NA;NA;NA
S3_24_2M_1;3;2;24;S3_24_2M;1;NA;NA;NA;NA;NA;NA;NA;NA
S3_24_4M_1;3;4;24;S3_24_4M;1;NA;NA;NA;NA;NA;NA;NA;NA
S11_24_2M_1;11;2;24;S11_24_2M;1;NA;NA;NA;NA;NA;NA;NA;NA
S11_24_4M_1;11;4;24;S11_24_4M;1;NA;NA;NA;NA;NA;NA;NA;NA
S13_24_2M_1;13;2;24;S13_24_2M;1;NA;NA;NA;NA;NA;NA;NA;NA
S13_24_4M_1;13;4;24;S13_24_4M;1;NA;NA;NA;NA;NA;NA;NA;NA
Mix_24_2M_1;mix;2;24;Mix_24_2M;1;NA;NA;NA;NA;NA;NA;NA;NA
Mix_24_4M_1;mix;4;24;Mix_24_4M;1;NA;NA;NA;NA;NA;NA;NA;NA
S1C_24_2M_2;1C;2;24;S1C_24_2M;2;NA;NA;NA;NA;NA;NA;NA;NA
S1C_24_4M_2;1C;4;24;S1C_24_4M;2;NA;NA;NA;NA;NA;NA;NA;NA
S3_24_2M_2;3;2;24;S3_24_2M;2;NA;NA;NA;NA;NA;NA;NA;NA
S3_24_4M_2;3;4;24;S3_24_4M;2;NA;NA;NA;NA;NA;NA;NA;NA
S11_24_2M_2;11;2;24;S11_24_2M;2;NA;NA;NA;NA;NA;NA;NA;NA
S11_24_4M_2;11;4;24;S11_24_4M;2;NA;NA;NA;NA;NA;NA;NA;NA
S13_24_2M_2;13;2;24;S13_24_2M;2;NA;NA;NA;NA;NA;NA;NA;NA
S13_24_4M_2;13;4;24;S13_24_4M;2;NA;NA;NA;NA;NA;NA;NA;NA
Mix_24_2M_2;mix;2;24;Mix_24_2M;2;NA;NA;NA;NA;NA;NA;NA;NA
Mix_24_4M_2;mix;4;24;Mix_24_4M;2;NA;NA;NA;NA;NA;NA;NA;NA
S1C_24_2M_3;1C;2;24;S1C_24_2M;3;NA;NA;NA;NA;NA;NA;NA;NA
S1C_24_4M_3;1C;4;24;S1C_24_4M;3;NA;NA;NA;NA;NA;NA;NA;NA
S3_24_2M_3;3;2;24;S3_24_2M;3;NA;NA;NA;NA;NA;NA;NA;NA
S3_24_4M_3;3;4;24;S3_24_4M;3;NA;NA;NA;NA;NA;NA;NA;NA
S11_24_2M_3;11;2;24;S11_24_2M;3;NA;NA;NA;NA;NA;NA;NA;NA
S11_24_4M_3;11;4;24;S11_24_4M;3;NA;NA;NA;NA;NA;NA;NA;NA
S13_24_2M_3;13;2;24;S13_24_2M;3;NA;NA;NA;NA;NA;NA;NA;NA
S13_24_4M_3;13;4;24;S13_24_4M;3;NA;NA;NA;NA;NA;NA;NA;NA
Mix_24_2M_3;mix;2;24;Mix_24_2M;3;NA;NA;NA;NA;NA;NA;NA;NA
Mix_24_4M_3;mix;4;24;Mix_24_4M;3;NA;NA;NA;NA;NA;NA;NA;NA
Blank_24_2M;blank;2;24;Blank_24_2M;blank;NA;NA;NA;NA;NA;NA;NA;NA
Blank_24_4M;blank;4;24;Blank_24_4M;blank;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_2M_1;1C;2;36;S1C_36_2M;1;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_3.5M_1;1C;3,5;36;S1C_36_3.5M;1;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_4M_1;1C;4;36;S1C_36_4M;1;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_2M_1;3;2;36;S3_36_2M;1;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_3.5M_1;3;3,5;36;S3_36_3.5M;1;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_4M_1;3;4;36;S3_36_4M;1;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_2M_1;11;2;36;S11_36_2M;1;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_3.5M_1;11;3,5;36;S11_36_3.5M;1;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_4M_1;11;4;36;S11_36_4M;1;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_2M_1;13;2;36;S13_36_2M;1;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_3.5M_1;13;3,5;36;S13_36_3.5M;1;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_4M_1;13;4;36;S13_36_4M;1;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_2M_1;mix;2;36;Mix_36_2M;1;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_3.5M_1;mix;3,5;36;Mix_36_3.5M;1;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_4M_1;mix;4;36;Mix_36_4M;1;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_2M_2;1C;2;36;S1C_36_2M;2;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_3.5M_2;1C;3,5;36;S1C_36_3.5M;2;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_4M_2;1C;4;36;S1C_36_4M;2;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_2M_2;3;2;36;S3_36_2M;2;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_3.5M_2;3;3,5;36;S3_36_3.5M;2;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_4M_2;3;4;36;S3_36_4M;2;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_2M_2;11;2;36;S11_36_2M;2;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_3.5M_2;11;3,5;36;S11_36_3.5M;2;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_4M_2;11;4;36;S11_36_4M;2;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_2M_2;13;2;36;S13_36_2M;2;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_3.5M_2;13;3,5;36;S13_36_3.5M;2;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_4M_2;13;4;36;S13_36_4M;2;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_2M_2;mix;2;36;Mix_36_2M;2;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_3.5M_2;mix;3,5;36;Mix_36_3.5M;2;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_4M_2;mix;4;36;Mix_36_4M;2;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_2M_3;1C;2;36;S1C_36_2M;3;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_3.5M_3;1C;3,5;36;S1C_36_3.5M;3;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_4M_3;1C;4;36;S1C_36_4M;3;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_2M_3;3;2;36;S3_36_2M;3;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_3.5M_3;3;3,5;36;S3_36_3.5M;3;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_4M_3;3;4;36;S3_36_4M;3;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_2M_3;11;2;36;S11_36_2M;3;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_3.5M_3;11;3,5;36;S11_36_3.5M;3;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_4M_3;11;4;36;S11_36_4M;3;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_2M_3;13;2;36;S13_36_2M;3;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_3.5M_3;13;3,5;36;S13_36_3.5M;3;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_4M_3;13;4;36;S13_36_4M;3;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_2M_3;mix;2;36;Mix_36_2M;3;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_3.5M_3;mix;3,5;36;Mix_36_3.5M;3;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_4M_3;mix;4;36;Mix_36_4M;3;NA;NA;NA;NA;NA;NA;NA;NA
Blank_36_2M;blank;2;36;Blank_36_2M;blank;NA;NA;NA;NA;NA;NA;NA;NA
Blank_36_3.5M;blank;3,5;36;Blank_36_3.5M;blank;NA;NA;NA;NA;NA;NA;NA;NA
Blank_36_4M;blank;4;36;Blank_36_4M;blank;NA;NA;NA;NA;NA;NA;NA;NA
S1C_24_2M;1C;2;24;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S1C_24_4M;1C;4;24;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S3_24_2M;3;2;24;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S3_24_4M;3;4;24;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S11_24_2M;11;2;24;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S11_24_4M;11;4;24;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S13_24_2M;13;2;24;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S13_24_4M;13;4;24;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
Mix_24_2M;mix;2;24;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
Mix_24_4M;mix;4;24;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_2M;1C;2;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_3.5M;1C;3,5;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S1C_36_4M;1C;4;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_2M;3;2;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_3.5M;3;3,5;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S3_36_4M;3;4;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_2M;11;2;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_3.5M;11;3,5;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S11_36_4M;11;4;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_2M;13;2;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_3.5M;13;3,5;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
S13_36_4M;13;4;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_2M;mix;2;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_3.5M;mix;3,5;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
Mix_36_4M;mix;4;36;pooled;pooled;NA;NA;NA;NA;NA;NA;NA;NA
